service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20170904,20171231
2,0,0,0,0,0,1,0,20170904,20171231
3,0,0,0,0,0,0,1,20170904,20171231
9201,0,0,0,0,0,0,0,20170904,20171231
9101,0,0,0,0,0,0,0,20170904,20171231
201,0,0,0,0,0,0,0,20170904,20171231
2401,0,0,0,0,0,0,0,20170904,20171231
2402,0,0,0,0,0,0,0,20170904,20171231
2403,0,0,0,0,0,0,0,20170904,20171231
